id,tenant_id,text,rating,date,source,prediction_1,score_1,prediction_2,score_2,prediction_3,score_3
1,1,"I order nutribullet blender and expected delivery was after 10days. I realized that nothing happened on my account after 8 days and call SAV where I heard that everything is ok and package will be delivered on time... Unfortunately in the day of delivery still didn't received any information about any changes or sending package. I call SAV and finally get messaged that they are out of stock and don't know when it will arrived. I ask for refund, hope get it soon.",1,2023-06-22,trustpilot,negative,0.5181986689567566,Order Issue,67.15,Stock Problem,51.25
2,1,"I had a problem with an unpaid card. I contacted Auchan this morning and this afternoon customer service called me back to tell me they had taken care of it. Friendly, efficient and fast service.",5,2023-06-14,trustpilot,positive,0.6043685674667358,Corresponding,60.51,Corresponding,62.93
3,1,"Following today's promotion on DASH detergent at €0.99 per barrel of 19 doses in Auchan centers, I went to the one in Montgeron at 9 am and there was no more even though the opening time was 8:30 am. It's a weekday and the store isn't very busy. They wouldn't let me take the equivalent, even though there were 19-dose boxes on the shelves and I could get the promotional price.",1,2023-07-04,trustpilot,negative,0.4395849406719208,Order Issue,60.4,Stock Problem,46.04
5,1,"A question, does anyone ever taste fruit before it goes on sale? On several occasions (not often fortunately) the fruit bought at le Pontet is not good. Most recently, on 17/06, 2 Charentais melons (sold in pairs at €5) went into the garbage can, even though they smelled good, looked ripe and very juicy, but tasted vile, bordering on chemical.",1,2023-07-06,trustpilot,negative,0.6807113885879517,Order Issue,53.22,Stock Problem,50.04
7,1,"It should be soon but the item is bulky, I ask for a commercial gesture given the delay of several months a home delivery: response it is not possible",1,2023-06-23,trustpilot,neutral,0.4159812033176422,Not Bad,69.04,Average Service,40.91
8,1,"And I still don't know when it will be delivered, maybe during my vacations so I won't be able to pick it up and it will be returned to sender...",1,2023-06-30,trustpilot,negative,0.3954921066761017,Order Issue,70.42,Delivery Issue,63.73
12,1,"And the icing on the cake, the order was to be delivered in April 2023 and now I'm told delivery in November 2023 knowing that I placed the order in March and a week ago I was assured of a delivery within 15 days.",1,2023-07-03,trustpilot,negative,0.4132381379604339,Order Issue,81.43,Delivery Issue,73.05
15,1,"Phew order picked up on Saturday morning after calling the drive, but what was my surprise when putting my groceries in the fridge and discovering that my two pieces of roast chicken bought vacuum packed were expired by 2 days",1,2023-06-07,trustpilot,negative,0.3117373287677765,Order Issue,77.39,Delivery Issue,59.06
17,1,"UPDATED after seller's reply: No, this is not true and I think you need to check your processes. I'll be happy to discuss this with you and provide you with all the related information.",1,2023-06-23,trustpilot,neutral,0.3266797065734863,Not Bad,56.84,Internal Policies,35.75
18,1,"I only bought bedding products online: 4 pillows and a 100% cotton fitted sheet. Good quality, the cheapest prices on the market and very fast delivery by MONDIAL RELAY... Very satisfied.",1,2023-06-15,trustpilot,positive,0.6709226965904236,Delivery,54.1,Excellent,54.24
20,1,"nil for online ordering. Supposedly for security, we are contacted by a Parisian company that asks you to send them documents. The principle online is speed, if you lose a week in mail there is no interest.",1,2012-05-16,trustpilot,negative,0.3973073959350586,Order Issue,65.37,Delivery Issue,36.5
22,1,"You can find a lot of products, but the items are sometimes missing from the site :( It's also sometimes difficult to find a specific item on special offer...",3,2012-04-09,trustpilot,neutral,0.5664000511169434,Not Bad,58.22,OK,42.94
29,1,"I placed an order on Auchan.fr, I asked for the delivery in point-relais.It was delivered well, but with the request for Auchan, it was immediately turned over to the shipper, without M'AVERTIR and without REFUNDING.I had however received an email warning me that my parcel was with the point-relais.To date, I always await refunding.",1,2012-01-19,trustpilot,negative,0.3082331418991089,Order Issue,78.45,Delivery Issue,89.15
36,1,"Dear director and shareholders, do you think the customer is just a COm-SOMMATE? Do you think that your customers (the ones who make your living!) have no brains, no capacity for information, no ability to understand that this inflation is only due to the rapacity of shareholders who want more and more in their pockets?",5,2023-05-24,trustpilot,negative,0.7075258493423462,Politics Issue,56.04,Internal Policies,61.66
37,1,Automatic checkouts: the customer does the work for you and pays ever more for quantities that are getting smaller by the week... and thanks to him you're laying off!,1,2023-06-12,trustpilot,positive,0.5889018177986145,Corresponding,50.49,Corresponding,87.01
38,1,"the waiting time at checkouts, where there are still a few humans left, is getting very, very long...last Saturday it took about 30 minutes...to be served by a human...( elderly people were waiting obediently without being taken into consideration, I informed the manager who didn't feel totally concerned, long and sluggish reaction time and not a word of apology)",1,2023-04-24,trustpilot,negative,0.3865954279899597,Customer Service Issue,49.0,Staff Issue,71.05
39,1,Je comsomme de moins en moins chez vous...cette attitude me dégoute....du coup je vais de plus en plus chez Leclerc car chez eux il y a encore plus d'humains que de machines et ils sont moins chers en plus!!! vous avez perdu une trés bonne cliente qui vous a laissé beaucoup d'argent en plus de 20 ans !!!,1,2023-05-22,trustpilot,negative,0.4695029258728027,Politics Issue,43.39,Internal Policies,50.99
42,1,"Best customer service in France, the person who answers your call listens to you and offers you commercial gestures without you even asking.",1,2023-03-30,trustpilot,positive,0.8960965275764465,Corresponding,61.57,Corresponding,76.15
44,1,"Refusal to reimburse us for a phone bought the same day, we accept a gift card or nothing, we ask for a manager and they send us a colleague of course who has a delegation of power for one day (hilarious isn't it?),",1,2023-06-07,trustpilot,negative,0.6217256784439087,Customer Service Issue,44.03,Staff Issue,88.33
45,1,"The reason for the non-refund is that the packaging is slightly cracked and therefore cannot be put back on sale, a 249 euro purchase hurts!",1,2023-05-20,trustpilot,negative,0.6211482882499695,Order Issue,64.21,Not corresponding,38.19
47,1,"So several refusals of course, we support the colleague who doesn't want to go back on his decision out of pride, but the ultimate is that he immediately reimburses a person next to us who returns a parasol without its original packaging and broken, find the error?",1,2023-03-28,trustpilot,neutral,0.3662519156932831,Not Bad,63.62,Internal Policies,32.2
49,1,"No no I maintain my position says the colleague responsible for 1 Day come back tomorrow, I say tomorrow we will be refunded? Answer no I maintain my position,",1,2023-05-18,trustpilot,negative,0.6787935495376587,Customer Service Issue,45.54,Staff Issue,85.12
